frame_idx,track_id,face_detected,face_conf,face_x1,face_y1,face_x2,face_y2,raw_gaze_detected,raw_inout,raw_x_gaze,raw_y_gaze,gaze_detected,inout,x_gaze,y_gaze,offscreen_direction,offscreen_yaw,offscreen_pitch
88,1,True,0.9963638186454773,422,252,476,336,True,0.9950626492500305,935,273,True,0.9956935405731201,935,273,,,
88,2,True,0.9970076680183411,929,256,983,338,True,0.9736219644546509,452,275,True,0.9696652173995972,451,275,,,
89,1,True,0.9972749352455139,419,251,472,337,True,0.9945346117019653,936,273,True,0.9958016037940979,936,273,,,
89,2,True,0.9968296885490417,929,256,983,337,True,0.9711589813232422,441,275,True,0.9716509461402894,441,274,,,
90,1,True,0.996145486831665,414,253,468,336,True,0.9965143799781799,936,273,True,0.9945589542388916,936,273,,,
90,2,True,0.9965468049049377,929,256,983,337,True,0.9735205769538879,437,273,True,0.971403157711029,438,273,,,
91,1,True,0.995465099811554,408,254,462,336,True,0.9966914653778076,936,272,True,0.9936668276786804,937,273,,,
91,2,True,0.996276319026947,929,256,982,336,True,0.9749106764793396,434,274,True,0.9701980710029602,435,274,,,
92,1,True,0.995992124080658,404,254,458,336,True,0.9899916648864746,938,273,True,0.9929631352424622,937,274,,,
92,2,True,0.9957624077796936,927,256,981,336,True,0.9638035893440247,433,272,True,0.9691356897354126,434,274,,,
93,1,True,0.9965852499008179,399,254,452,336,True,0.9906020164489746,937,274,True,0.9929207801818848,937,274,,,
93,2,True,0.9959988594055176,927,256,981,336,True,0.9675965309143066,429,273,True,0.9663387894630432,429,273,,,
94,1,True,0.9965378046035767,396,255,449,338,True,0.991016149520874,936,274,True,0.9927491426467896,937,274,,,
94,2,True,0.9959394931793213,926,256,980,336,True,0.9658470749855042,426,274,True,0.9642766714096069,424,274,,,
95,1,True,0.996863842010498,391,256,445,336,True,0.996302604675293,937,274,True,0.9936195373535156,937,274,,,
95,2,True,0.9957939386367798,925,256,979,336,True,0.959536075592041,421,274,True,0.9655415654182434,420,275,,,
96,1,True,0.995905876159668,388,256,441,337,True,0.9958332777023315,936,273,True,0.9942425727844239,937,274,,,
96,2,True,0.9960882663726807,925,257,979,337,True,0.9646000862121582,411,274,True,0.9663508772850037,412,275,,,
97,1,True,0.9957970380783081,384,256,439,338,True,0.994343638420105,934,275,True,0.9946208715438842,935,275,,,
97,2,True,0.9960350394248962,924,256,979,338,True,0.970128059387207,408,276,True,0.9678388237953186,408,277,,,
98,1,True,0.9968066215515137,382,256,436,338,True,0.9937171936035156,932,275,True,0.993730092048645,932,274,,,
98,2,True,0.9960132837295532,923,256,976,338,True,0.9716430902481079,406,278,True,0.9705018043518067,406,277,,,
99,1,True,0.9972535967826843,380,256,435,338,True,0.9929076433181763,932,275,True,0.992864453792572,932,275,,,
99,2,True,0.9965135455131531,922,256,975,339,True,0.9732868075370789,401,277,True,0.9716938018798829,402,277,,,
100,1,True,0.9970790147781372,380,256,434,338,True,0.9918487071990967,930,275,True,0.9922302722930908,930,275,,,
100,2,True,0.9970616698265076,921,256,975,340,True,0.9728509783744812,399,277,True,0.971174705028534,401,277,,,
101,1,True,0.9971412420272827,380,256,434,338,True,0.9915050864219666,930,275,True,0.9915713548660279,930,275,,,
101,2,True,0.9972148537635803,921,257,975,340,True,0.9705600738525391,399,277,True,0.9702618718147278,401,277,,,
102,1,True,0.9971674084663391,379,256,434,338,True,0.991172730922699,930,275,True,0.9909961700439454,930,275,,,
102,2,True,0.9970874190330505,921,258,974,340,True,0.9675325751304626,398,277,True,0.968929135799408,401,277,,,
103,1,True,0.9971359968185425,380,256,435,339,True,0.9904226064682007,930,275,True,0.9904582381248475,931,276,,,
103,2,True,0.9969084858894348,921,258,973,341,True,0.9670789241790771,401,277,True,0.9678292989730835,402,278,,,
104,1,True,0.9971659779548645,380,256,436,339,True,0.9900317192077637,931,276,True,0.9897412061691284,931,276,,,
104,2,True,0.996684730052948,920,258,973,341,True,0.9666231274604797,405,278,True,0.9674494862556458,405,278,,,
105,1,True,0.9968366622924805,381,256,436,339,True,0.9891590476036072,930,277,True,0.9892766237258911,930,277,,,
105,2,True,0.9960895776748657,919,260,972,341,True,0.9673517942428589,405,278,True,0.9681560635566712,406,277,,,
106,1,True,0.9967023730278015,382,257,436,340,True,0.9879199266433716,930,277,True,0.9886143803596497,930,277,,,
106,2,True,0.9957208037376404,919,260,971,341,True,0.9686610102653503,407,276,True,0.9695504307746887,406,277,,,
107,1,True,0.9968781471252441,382,257,437,340,True,0.9888498187065125,931,278,True,0.9875000715255737,930,277,,,
107,2,True,0.995205819606781,918,260,970,341,True,0.9710654616355896,408,276,True,0.9747286915779114,407,277,,,
108,1,True,0.9966740608215332,383,257,438,341,True,0.9871113896369934,926,277,True,0.9867921710014343,926,277,,,
108,2,True,0.9948528409004211,918,260,971,340,True,0.974050760269165,408,276,True,0.9800703167915344,409,277,,,
