frame_idx,cls,track_id,source,conf,x1,y1,x2,y2,pose_keypoints,label
5,person,1,pose,0.8931316614151001,362,255,647,749,"[[572.4528198242188, 321.137451171875, 0.9795698523521423], [569.8275756835938, 307.77783203125, 0.12659384310245514], [562.2677612304688, 308.7870178222656, 0.9864722490310669], [541.9425659179688, 312.4056701660156, 0.0015399671392515302], [522.4385986328125, 314.1318664550781, 0.9915995597839355], [507.51910400390625, 353.8048400878906, 0.9662060737609863], [470.72442626953125, 360.5753479003906, 0.9940983057022095], [532.9667358398438, 427.01519775390625, 0.9579142928123474], [507.05780029296875, 455.2937316894531, 0.9940190315246582], [588.2932739257812, 433.4165954589844, 0.9813792705535889], [599.3074951171875, 448.91259765625, 0.9950035214424133], [479.6878662109375, 534.9421997070312, 0.9680944085121155], [439.386962890625, 549.2362060546875, 0.9877585768699646], [615.2896728515625, 560.0366821289062, 0.9510570168495178], [597.7681884765625, 581.5108032226562, 0.9844608902931213], [546.85205078125, 698.8641967773438, 0.7855550646781921], [535.6244506835938, 711.5165405273438, 0.8724040985107422]]",person 1
5,person,2,pose,0.7471560359001159,771,245,1047,747,"[[915.2000732421875, 314.980224609375, 0.9905731081962585], [929.8419189453125, 301.9480285644531, 0.9950862526893616], [914.4855346679688, 300.8656005859375, 0.5561715960502625], [970.91796875, 303.5630187988281, 0.9907201528549194], [925.7265014648438, 299.40533447265625, 0.004229604732245207], [1007.7199096679688, 366.3460693359375, 0.9902254939079285], [940.609619140625, 357.8131408691406, 0.9855166077613831], [978.71826171875, 464.7669677734375, 0.990407407283783], [907.9776000976562, 434.85443115234375, 0.9640882611274719], [874.578125, 461.2276916503906, 0.9889078736305237], [859.5743408203125, 452.753662109375, 0.9321041107177734], [973.79931640625, 538.8236694335938, 0.9554443955421448], [926.6483764648438, 522.3899536132812, 0.9479283094406128], [814.9478759765625, 556.49365234375, 0.9377110004425049], [796.6080932617188, 539.3966674804688, 0.8919256329536438], [852.22265625, 706.8558349609375, 0.8723785281181335], [840.2214965820312, 697.8587646484375, 0.8823994398117065]]",person 2
6,person,1,pose,0.891351330280304,364,255,647,749,"[[572.416015625, 321.03839111328125, 0.9796814918518066], [569.7833251953125, 307.7243957519531, 0.126418799161911], [562.248046875, 308.72161865234375, 0.9864525198936462], [541.8880615234375, 312.3709716796875, 0.00154180359095335], [522.387939453125, 314.0706787109375, 0.9916081428527832], [507.5173645019531, 353.7582092285156, 0.9665044546127319], [470.8480529785156, 360.6308288574219, 0.9939981698989868], [532.7758178710938, 427.0365905761719, 0.9595530033111572], [507.4162292480469, 455.3598937988281, 0.9938661456108093], [588.2811889648438, 433.2935791015625, 0.9822494983673096], [599.3427734375, 449.04510498046875, 0.9948132038116455], [480.3597717285156, 534.2335205078125, 0.9676923155784607], [440.25146484375, 548.4779052734375, 0.9872940182685852], [615.6556396484375, 560.420166015625, 0.9522226452827454], [598.0457153320312, 581.3197021484375, 0.9842737913131714], [547.1981811523438, 699.2057495117188, 0.7870515584945679], [535.650390625, 711.4716186523438, 0.8706268668174744]]",person 1
6,person,2,pose,0.7540145516395569,770,245,1047,748,"[[915.3804931640625, 314.6984558105469, 0.9909378290176392], [930.2457885742188, 301.6746520996094, 0.9952232241630554], [914.6599731445312, 300.42059326171875, 0.5694839358329773], [971.295166015625, 303.59136962890625, 0.9904636144638062], [925.6674194335938, 298.9949035644531, 0.004326505586504936], [1008.0026245117188, 366.6311340332031, 0.9900186061859131], [940.3901977539062, 357.5806579589844, 0.9846420884132385], [979.0136108398438, 464.8169860839844, 0.9901400208473206], [907.9284057617188, 435.2401428222656, 0.9587163329124451], [874.4517822265625, 461.21771240234375, 0.988937258720398], [859.4335327148438, 452.79083251953125, 0.9247874021530151], [973.5460205078125, 538.813720703125, 0.9540010094642639], [926.0215454101562, 522.19580078125, 0.9463462233543396], [815.1396484375, 556.0169677734375, 0.9359845519065857], [796.4647827148438, 539.4176025390625, 0.8934137225151062], [851.7144775390625, 706.1723022460938, 0.8729326725006104], [839.2417602539062, 697.4026489257812, 0.8883892893791199]]",person 2
7,person,1,pose,0.8901513934135437,366,255,647,750,"[[572.3309936523438, 320.9719543457031, 0.980121374130249], [569.806640625, 307.6929016113281, 0.13228285312652588], [562.1138916015625, 308.7172546386719, 0.9867801070213318], [542.1615600585938, 312.37603759765625, 0.0016100170323625207], [522.3029174804688, 314.1089172363281, 0.9915981292724609], [507.2071838378906, 353.5301513671875, 0.9655055999755859], [470.9562072753906, 360.3516845703125, 0.9938617944717407], [531.2844848632812, 427.4266357421875, 0.9572694897651672], [506.54205322265625, 455.1033935546875, 0.9935947060585022], [587.4859008789062, 433.02996826171875, 0.9820859432220459], [599.0868530273438, 449.1034851074219, 0.9948458671569824], [480.9854736328125, 534.27880859375, 0.9664421677589417], [441.4125061035156, 548.5918579101562, 0.9868578910827637], [615.6679077148438, 560.1777954101562, 0.9508171677589417], [597.9420776367188, 581.09033203125, 0.9838048815727234], [547.5115356445312, 698.4937133789062, 0.7865232825279236], [536.2654418945312, 710.599609375, 0.8703398704528809]]",person 1
7,person,2,pose,0.7578028440475464,770,245,1047,748,"[[915.6359252929688, 314.62664794921875, 0.9908846020698547], [930.5892333984375, 301.511962890625, 0.9951689839363098], [914.9611206054688, 300.2458801269531, 0.5642433166503906], [971.6738891601562, 303.48211669921875, 0.990382730960846], [925.99609375, 298.81158447265625, 0.004215629771351814], [1008.0925903320312, 366.70452880859375, 0.9899564981460571], [940.4278564453125, 357.65509033203125, 0.9847816228866577], [979.3316040039062, 465.1312255859375, 0.990066409111023], [908.0480346679688, 435.4261474609375, 0.9596990942955017], [874.6249389648438, 461.2458801269531, 0.9887418150901794], [859.399169921875, 452.55078125, 0.9266670346260071], [973.6068115234375, 539.0469360351562, 0.9533783197402954], [926.0526733398438, 522.418701171875, 0.9461827278137207], [815.0039672851562, 555.7667236328125, 0.9352730512619019], [796.3536376953125, 539.2181396484375, 0.893681526184082], [851.630859375, 705.857421875, 0.8723331093788147], [839.208251953125, 697.1721801757812, 0.8888121247291565]]",person 2
8,person,1,pose,0.8890756011009217,368,255,647,750,"[[572.2321166992188, 320.95294189453125, 0.9805448055267334], [569.7118530273438, 307.6631774902344, 0.13520090281963348], [561.9424438476562, 308.7070007324219, 0.9869427680969238], [542.1504516601562, 312.405517578125, 0.0016267511527985334], [522.19580078125, 314.1991271972656, 0.9914883375167847], [507.1370544433594, 353.592041015625, 0.9653447866439819], [471.093994140625, 360.4548034667969, 0.9937823414802551], [531.4310913085938, 427.2919616699219, 0.9577904939651489], [506.48394775390625, 455.16375732421875, 0.9935275912284851], [587.58544921875, 432.92608642578125, 0.9824562072753906], [599.0543823242188, 449.0792236328125, 0.9948403239250183], [481.55731201171875, 533.8950805664062, 0.9658524394035339], [442.14666748046875, 548.210693359375, 0.9865117073059082], [615.7595825195312, 560.501708984375, 0.9510078430175781], [597.7010498046875, 581.2394409179688, 0.9836676120758057], [547.236328125, 698.7177734375, 0.7841622829437256], [535.8989868164062, 710.8723754882812, 0.8675441741943359]]",person 1
8,person,2,pose,0.7570664167404175,770,244,1047,748,"[[915.7196044921875, 314.56201171875, 0.990854024887085], [930.724853515625, 301.4576416015625, 0.9950873255729675], [915.1798095703125, 300.1728820800781, 0.5533339381217957], [971.9281005859375, 303.46356201171875, 0.9902712106704712], [926.444091796875, 298.7138977050781, 0.0039622909389436245], [1008.3880615234375, 366.63702392578125, 0.9899675846099854], [940.4652099609375, 357.7242736816406, 0.9848328232765198], [979.2944946289062, 465.08270263671875, 0.99008709192276], [907.9483642578125, 435.4325866699219, 0.9600874781608582], [874.6997680664062, 461.2629699707031, 0.9885712265968323], [859.4925537109375, 452.4581298828125, 0.92676842212677], [973.470458984375, 539.2332153320312, 0.9534139633178711], [925.83447265625, 522.6483764648438, 0.9461707472801208], [815.0073852539062, 555.7232666015625, 0.9344792366027832], [796.2979125976562, 539.1015014648438, 0.8923463225364685], [851.494873046875, 705.7421875, 0.8691820502281189], [839.3043823242188, 697.017333984375, 0.8859511613845825]]",person 2
9,person,1,pose,0.8881564259529113,369,255,647,750,"[[572.2451782226562, 320.97772216796875, 0.9805371165275574], [569.7437133789062, 307.7082824707031, 0.13758310675621033], [561.9778442382812, 308.7503967285156, 0.9869868159294128], [542.2676391601562, 312.42181396484375, 0.0016487684333696961], [522.26708984375, 314.1780700683594, 0.9914016127586365], [507.30499267578125, 353.91253662109375, 0.9657258987426758], [471.00360107421875, 360.66851806640625, 0.9936838150024414], [532.3876342773438, 427.04620361328125, 0.9604496955871582], [506.9466247558594, 455.2043151855469, 0.9935814142227173], [587.9259643554688, 433.08892822265625, 0.9829915165901184], [599.2669677734375, 449.1102600097656, 0.9947677850723267], [482.5389709472656, 533.7631225585938, 0.9658666849136353], [443.57305908203125, 548.0816650390625, 0.9863779544830322], [615.5113525390625, 560.0877685546875, 0.9516551494598389], [598.3277587890625, 580.7290649414062, 0.9837956428527832], [547.4786987304688, 698.385986328125, 0.7933980822563171], [535.59228515625, 710.271484375, 0.8742241263389587]]",person 1
9,person,2,pose,0.7552465438842774,770,244,1047,747,"[[915.74462890625, 314.6206359863281, 0.9908328652381897], [930.7938232421875, 301.4441833496094, 0.9949852228164673], [915.2540893554688, 300.1388854980469, 0.5523614883422852], [972.027099609375, 303.4425354003906, 0.9900471568107605], [926.5459594726562, 298.6183166503906, 0.003987031523138285], [1008.7833251953125, 366.8826904296875, 0.9899733066558838], [940.5557250976562, 357.6922607421875, 0.9849260449409485], [979.2689819335938, 465.3393249511719, 0.9900743365287781], [907.7763671875, 435.4620361328125, 0.9607568383216858], [874.6292724609375, 461.2471618652344, 0.9885666966438293], [858.7120361328125, 452.3933410644531, 0.9289209842681885], [973.2399291992188, 539.025634765625, 0.9527899026870728], [925.7332153320312, 522.269287109375, 0.9458711743354797], [814.5252685546875, 555.7013549804688, 0.9347850680351257], [796.2713012695312, 539.0804443359375, 0.8938491344451904], [851.4519653320312, 705.23291015625, 0.8710539937019348], [838.9855346679688, 696.5820922851562, 0.8882511854171753]]",person 2
10,person,1,pose,0.888147497177124,370,255,647,750,"[[572.307861328125, 321.049072265625, 0.980015218257904], [569.7435913085938, 307.7865295410156, 0.13179117441177368], [562.0703125, 308.809326171875, 0.9865628480911255], [541.9571533203125, 312.4520568847656, 0.001615977380424738], [522.33154296875, 314.1794738769531, 0.9914313554763794], [506.8320617675781, 353.68914794921875, 0.9652717113494873], [471.13690185546875, 360.5471496582031, 0.9937071204185486], [531.8103637695312, 427.2431945800781, 0.9589630365371704], [506.458251953125, 455.32342529296875, 0.9934872388839722], [587.9267578125, 433.09283447265625, 0.9825851917266846], [599.220458984375, 448.99566650390625, 0.9947625994682312], [481.91241455078125, 534.08740234375, 0.9650276303291321], [443.32159423828125, 548.42333984375, 0.9862537384033203], [615.5939331054688, 560.0806884765625, 0.9499712586402893], [598.9371337890625, 580.7164306640625, 0.9835914373397827], [546.3721313476562, 698.4151000976562, 0.782832145690918], [535.1749877929688, 710.2316284179688, 0.8693789839744568]]",person 1
