frame_idx,track_id,gaze_detected,inout,x_gaze,y_gaze,offscreen_direction,offscreen_yaw,offscreen_pitch
0,1,True,0.6799502372741699,517,611,,,
0,2,True,0.9775947332382202,510,603,,,
1,1,True,0.6692717224359512,516,609,,,
1,2,True,0.9786166250705719,507,599,,,
2,1,True,0.65723557472229,514,607,,,
2,2,True,0.9790798664093018,506,593,,,
3,1,True,0.6314419627189636,515,602,,,
3,2,True,0.9801804304122925,507,588,,,
4,1,True,0.6138722896575928,518,600,,,
4,2,True,0.9802175402641297,505,585,,,
5,1,True,0.5980420112609863,522,597,,,
5,2,True,0.9807087779045105,510,584,,,
6,1,True,0.5933949589729309,528,596,,,
6,2,True,0.9806733846664428,520,582,,,
7,1,True,0.5961426496505737,532,594,,,
7,2,True,0.9808789968490601,525,582,,,
8,1,True,0.6074170708656311,537,593,,,
8,2,True,0.9813999891281128,529,583,,,
9,1,True,0.6263442158699035,544,592,,,
9,2,True,0.9817307949066162,528,583,,,
10,1,True,0.6315292835235595,543,588,,,
10,2,True,0.9817688703536988,528,583,,,
11,1,True,0.6300886631011963,546,585,,,
11,2,True,0.9815323710441589,535,581,,,
12,1,True,0.6301177859306335,548,583,,,
12,2,True,0.9811753988265991,540,584,,,
13,1,True,0.6309183359146118,550,582,,,
13,2,True,0.9804685831069946,541,584,,,
14,1,True,0.6238221287727356,556,585,,,
14,2,True,0.9795495986938476,543,583,,,
15,1,True,0.6422463059425354,563,586,,,
15,2,True,0.979669713973999,545,583,,,
16,1,True,0.6538055896759033,569,588,,,
16,2,True,0.9789029717445373,545,582,,,
17,1,True,0.6559047222137451,573,588,,,
17,2,True,0.977769649028778,551,582,,,
18,1,True,0.6460678696632385,573,588,,,
18,2,True,0.9765889048576355,552,578,,,
19,1,True,0.6392110705375671,577,585,,,
19,2,True,0.975040590763092,555,576,,,
20,1,True,0.6230286717414856,578,576,,,
20,2,True,0.9725530266761779,557,574,,,
21,1,True,0.6071017742156982,578,577,,,
21,2,True,0.9711024284362793,556,576,,,
22,1,True,0.5954553246498108,578,587,,,
22,2,True,0.9693422555923462,553,578,,,
23,1,True,0.5991769790649414,579,593,,,
23,2,True,0.96922367811203,552,592,,,
24,1,True,0.5971062064170838,574,604,,,
24,2,True,0.9707334399223327,547,601,,,
25,1,True,0.5879571795463562,570,618,,,
25,2,True,0.9721845746040344,544,611,,,
26,1,True,0.5825098872184753,568,623,,,
26,2,True,0.9739338755607605,544,614,,,
27,1,True,0.5816001653671264,566,624,,,
27,2,True,0.976069712638855,543,614,,,
28,1,True,0.5711575269699096,566,622,,,
28,2,True,0.9760315179824829,542,612,,,
29,1,True,0.5666776418685913,566,621,,,
29,2,True,0.9753980994224548,541,610,,,
30,1,True,0.56464022397995,568,616,,,
30,2,True,0.9747240662574768,542,607,,,
31,1,True,0.5707627058029174,572,610,,,
31,2,True,0.9737837433815002,543,602,,,
32,1,True,0.5657909870147705,573,609,,,
32,2,True,0.9723810434341431,544,600,,,
33,1,True,0.5694399476051331,571,610,,,
33,2,True,0.9725166082382202,539,601,,,
34,1,True,0.5778164029121399,570,611,,,
34,2,True,0.9730380177497864,538,602,,,
35,1,True,0.5900388836860657,564,614,,,
35,2,True,0.9739643096923828,533,603,,,
36,1,True,0.5987214326858521,554,615,,,
36,2,True,0.974836266040802,527,604,,,
37,1,True,0.6179620146751403,553,615,,,
37,2,True,0.9766739964485168,527,603,,,
38,1,True,0.6309649229049683,552,616,,,
38,2,True,0.977810800075531,527,604,,,
39,1,True,0.6431550145149231,552,615,,,
39,2,True,0.9785998702049256,527,603,,,
40,1,True,0.6488222122192383,553,615,,,
40,2,True,0.978820013999939,531,604,,,
41,1,True,0.6514321684837341,555,616,,,
41,2,True,0.9788423776626587,534,604,,,
42,1,True,0.65549156665802,555,617,,,
42,2,True,0.9790578603744506,535,604,,,
43,1,True,0.6572967886924743,558,618,,,
43,2,True,0.9793648481369018,537,606,,,
44,1,True,0.6570755839347839,557,618,,,
44,2,True,0.9798353672027588,539,608,,,
45,1,True,0.6581405639648438,554,616,,,
45,2,True,0.9803960919380188,538,608,,,
46,1,True,0.6579692006111145,554,616,,,
46,2,True,0.9814486265182495,538,608,,,
47,1,True,0.6530199885368347,550,614,,,
47,2,True,0.9822416067123413,533,604,,,
48,1,True,0.6461398005485535,549,614,,,
48,2,True,0.9828301548957825,530,602,,,
49,1,True,0.6358594775199891,547,613,,,
49,2,True,0.9829551339149475,527,600,,,
50,1,True,0.6271241664886474,547,613,,,
50,2,True,0.9833874344825745,529,599,,,
51,1,True,0.619035267829895,546,613,,,
51,2,True,0.983084774017334,531,598,,,
52,1,True,0.6122841715812684,548,613,,,
52,2,True,0.9827529191970825,536,597,,,
53,1,True,0.610862398147583,549,611,,,
53,2,True,0.982298982143402,539,596,,,
54,1,True,0.6230991125106812,553,610,,,
54,2,True,0.9823921322822571,548,596,,,
55,1,True,0.6257915019989013,554,607,,,
55,2,True,0.9816254258155823,555,592,,,
56,1,True,0.6229419946670532,557,604,,,
56,2,True,0.9811469793319703,556,591,,,
57,1,True,0.6183685660362244,555,599,,,
57,2,True,0.9803202629089356,559,589,,,
58,1,True,0.608968710899353,555,592,,,
58,2,True,0.9789628982543945,560,586,,,
59,1,True,0.5887870073318482,557,581,,,
59,2,True,0.9772570729255676,564,581,,,
60,1,True,0.568809700012207,561,573,,,
60,2,True,0.976007878780365,565,579,,,
61,1,True,0.5618671298027038,565,565,,,
61,2,True,0.9759844541549683,571,572,,,
62,1,True,0.561822509765625,566,560,,,
62,2,True,0.9761601328849793,574,571,,,
63,1,True,0.5672003149986267,570,557,,,
63,2,True,0.9773848533630372,577,570,,,
64,1,True,0.5666145205497741,573,558,,,
64,2,True,0.9784882068634033,579,572,,,
65,1,True,0.5797894835472107,578,563,,,
65,2,True,0.9788656234741211,584,572,,,
66,1,True,0.5933304905891419,584,569,,,
66,2,True,0.978414785861969,583,580,,,
67,1,True,0.6014122009277344,589,573,,,
67,2,True,0.9785125255584717,587,579,,,
68,1,True,0.5991407752037048,596,585,,,
68,2,True,0.9781699180603027,589,586,,,
69,1,True,0.6046369791030883,606,595,,,
