frame_idx,track_id,gaze_detected,inout,x_gaze,y_gaze,offscreen_direction,offscreen_yaw,offscreen_pitch
0,1,True,0.9886257449785868,374,163,,,
0,2,True,0.9546584685643514,964,143,,,
0,3,True,0.99504554271698,963,142,,,
1,1,True,0.9887630939483643,373,164,,,
1,2,True,0.9546080529689789,964,143,,,
1,3,True,0.9950757920742035,963,142,,,
2,1,True,0.9887758493423462,373,164,,,
2,2,True,0.954963231086731,964,143,,,
2,3,True,0.9950898051261902,963,142,,,
3,1,True,0.9887998223304748,373,164,,,
3,2,True,0.9538607478141785,964,143,,,
3,3,True,0.9951776027679443,963,142,,,
4,1,True,0.9887159943580628,374,164,,,
4,2,True,0.953290319442749,964,143,,,
4,3,True,0.9952542066574097,963,142,,,
5,1,True,0.9885708928108216,374,164,,,
5,2,True,0.953075397014618,964,143,,,
5,3,True,0.9953393578529358,963,142,,,
6,1,True,0.9884267687797547,374,164,,,
6,2,True,0.9515566468238831,964,143,,,
6,3,True,0.995434844493866,963,142,,,
7,1,True,0.9882465958595276,375,164,,,
7,2,True,0.9491630792617798,964,143,,,
7,3,True,0.9955251574516296,963,142,,,
8,1,True,0.9881048083305359,376,163,,,
8,2,True,0.9406680822372436,964,143,,,
8,3,True,0.9955383539199829,963,142,,,
9,1,True,0.9880520224571228,375,163,,,
9,2,True,0.9085488677024841,965,144,,,
9,3,True,0.9954966187477112,963,142,,,
10,1,True,0.9883586525917053,375,163,,,
10,2,True,0.8670330882072449,965,144,,,
10,3,True,0.9953542828559876,964,143,,,
11,1,True,0.9888150811195373,376,163,,,
11,2,True,0.8596444010734559,968,143,,,
11,3,True,0.9947889447212219,964,143,,,
12,1,True,0.9893758535385132,376,163,,,
12,2,True,0.863035249710083,374,165,,,
12,3,True,0.9940094590187073,964,143,,,
13,1,True,0.9900548219680786,375,164,,,
13,2,True,0.8759159684181214,377,164,,,
13,3,True,0.9931654810905457,964,143,,,
14,1,True,0.9905553221702575,375,164,,,
14,2,True,0.9095886826515198,377,164,,,
14,3,True,0.9924706816673279,965,142,,,
15,1,True,0.9906814098358154,375,164,,,
15,2,True,0.9536166310310363,377,163,,,
15,3,True,0.9917765855789185,965,142,,,
16,1,True,0.9909761786460877,375,163,,,
16,2,True,0.9650300979614258,378,163,,,
16,3,True,0.9914863109588623,965,142,,,
17,1,True,0.9912742495536804,376,163,,,
17,2,True,0.968990421295166,379,163,,,
17,3,True,0.99134361743927,965,142,,,
18,1,True,0.9914445161819458,376,163,,,
18,2,True,0.971097195148468,378,163,,,
18,3,True,0.9910296320915222,965,142,,,
19,1,True,0.9915958166122436,376,162,,,
19,2,True,0.975568687915802,378,163,,,
19,3,True,0.9905531883239747,964,143,,,
20,1,True,0.9916900634765625,376,161,,,
20,2,True,0.9795953154563903,380,163,,,
20,3,True,0.9902435660362243,964,143,,,
21,1,True,0.9909696578979492,375,160,,,
21,2,True,0.982454514503479,380,163,,,
21,3,True,0.9900623440742493,965,142,,,
22,1,True,0.9898483514785766,375,160,,,
22,2,True,0.982588279247284,379,163,,,
22,3,True,0.9899691343307495,965,142,,,
23,1,True,0.9886383771896362,375,160,,,
23,2,True,0.9828240394592285,378,163,,,
23,3,True,0.9899620771408081,964,143,,,
24,1,True,0.9874316692352295,374,160,,,
24,2,True,0.9831959486007691,378,163,,,
24,3,True,0.989943528175354,966,143,,,
25,1,True,0.9863249063491821,374,160,,,
25,2,True,0.9830057144165039,380,163,,,
25,3,True,0.9899643421173095,966,143,,,
26,1,True,0.9856587767601013,375,160,,,
26,2,True,0.983623468875885,380,163,,,
26,3,True,0.9896640539169311,966,143,,,
27,1,True,0.9856249451637268,374,159,,,
27,2,True,0.9841561555862427,391,158,,,
27,3,True,0.989414119720459,965,143,,,
28,1,True,0.9855235815048218,377,158,,,
28,2,True,0.9844312787055969,393,158,,,
28,3,True,0.9891836166381835,963,143,,,
29,1,True,0.9856869220733643,387,154,,,
29,2,True,0.9844494938850403,392,156,,,
29,3,True,0.9892276287078857,962,143,,,
30,1,True,0.9857565045356751,387,153,,,
30,2,True,0.9849987626075745,392,155,,,
30,3,True,0.9894302129745484,962,143,,,
31,1,True,0.9858657121658325,389,152,,,
31,2,True,0.9854660511016846,393,154,,,
31,3,True,0.9898533940315246,961,143,,,
32,1,True,0.9858111143112183,388,152,,,
32,2,True,0.9856698513031006,395,152,,,
32,3,True,0.9902658224105835,959,143,,,
33,1,True,0.9858854174613952,388,152,,,
33,2,True,0.9859098434448242,394,152,,,
33,3,True,0.9905860424041748,959,143,,,
34,1,True,0.9853997707366944,388,152,,,
34,2,True,0.9862397074699402,394,152,,,
34,3,True,0.990580928325653,959,144,,,
35,1,True,0.9847858071327209,388,152,,,
35,2,True,0.9862800240516663,394,152,,,
35,3,True,0.9902122259140015,959,144,,,
36,1,True,0.9843509078025818,391,152,,,
36,2,True,0.98627769947052,395,152,,,
36,3,True,0.989931857585907,959,144,,,
37,1,True,0.983737301826477,391,152,,,
37,2,True,0.986389982700348,395,152,,,
37,3,True,0.9895488619804382,959,144,,,
38,1,True,0.9832704186439514,393,151,,,
38,2,True,0.9866241097450257,395,153,,,
38,3,True,0.9895317792892456,960,144,,,
39,1,True,0.9831449627876282,393,152,,,
39,2,True,0.9866556048393249,395,153,,,
39,3,True,0.9896532535552979,960,144,,,
40,1,True,0.983160936832428,393,152,,,
40,2,True,0.9865857601165772,395,153,,,
40,3,True,0.989944052696228,960,144,,,
41,1,True,0.9830664038658142,392,151,,,
41,2,True,0.9866976380348206,395,153,,,
41,3,True,0.9902889728546143,960,144,,,
42,1,True,0.9826882839202881,392,151,,,
42,2,True,0.9867511510848999,395,152,,,
42,3,True,0.9908908128738403,960,144,,,
43,1,True,0.9822602987289428,392,151,,,
43,2,True,0.9868120193481446,395,153,,,
43,3,True,0.9915478825569153,960,144,,,
44,1,True,0.9821060180664063,392,151,,,
44,2,True,0.9870547533035279,396,152,,,
44,3,True,0.9921765685081482,960,144,,,
45,1,True,0.9820279002189636,392,151,,,
45,2,True,0.9873667001724243,396,152,,,
45,3,True,0.9924503684043884,960,144,,,
46,1,True,0.9817455172538757,394,151,,,
46,2,True,0.987432599067688,396,152,,,
46,3,True,0.9925829529762268,961,143,,,
47,1,True,0.9820366144180298,394,151,,,
47,2,True,0.987719202041626,397,152,,,
47,3,True,0.9925570368766785,961,143,,,
48,1,True,0.9821984529495239,394,151,,,
48,2,True,0.9875944972038269,397,152,,,
48,3,True,0.9923380136489868,961,143,,,
49,1,True,0.9818064332008362,394,151,,,
49,2,True,0.9873015880584717,397,152,,,
49,3,True,0.9922151088714599,961,144,,,
50,1,True,0.981257438659668,394,151,,,
50,2,True,0.987153685092926,397,152,,,
50,3,True,0.9924593925476074,961,144,,,
51,1,True,0.980323076248169,393,151,,,
51,2,True,0.9871046304702759,398,152,,,
51,3,True,0.9928420901298523,961,144,,,
52,1,True,0.9790847420692443,393,151,,,
52,2,True,0.9870294332504272,399,154,,,
52,3,True,0.9932056427001953,961,144,,,
53,1,True,0.9779632329940796,393,152,,,
53,2,True,0.9871777296066284,399,154,,,
53,3,True,0.9935852527618408,961,144,,,
54,1,True,0.97730393409729,393,152,,,
54,2,True,0.987410056591034,398,155,,,
54,3,True,0.9939058303833008,961,144,,,
55,1,True,0.9770131230354309,393,152,,,
55,2,True,0.9876719951629639,398,155,,,
55,3,True,0.9940196990966796,960,145,,,
56,1,True,0.9774474024772644,393,152,,,
56,2,True,0.9880717277526856,398,154,,,
56,3,True,0.9940072655677795,960,145,,,
57,1,True,0.9782086133956909,393,152,,,
57,2,True,0.9883731126785278,399,153,,,
57,3,True,0.9936551451683044,960,145,,,
58,1,True,0.978855288028717,393,151,,,
58,2,True,0.9887379288673401,399,152,,,
58,3,True,0.9930590033531189,959,145,,,
59,1,True,0.9791426658630371,392,150,,,
59,2,True,0.9889805316925049,396,151,,,
59,3,True,0.9918216943740845,959,145,,,
60,1,True,0.9794493556022644,391,149,,,
60,2,True,0.9892296552658081,396,151,,,
60,3,True,0.9902316451072692,959,145,,,
61,1,True,0.9795921087265015,389,148,,,
61,2,True,0.9894602775573731,393,150,,,
61,3,True,0.9878759384155273,960,145,,,
62,1,True,0.9796035408973693,374,150,,,
62,2,True,0.9898534059524536,392,148,,,
62,3,True,0.9857794404029846,960,145,,,
63,1,True,0.979789137840271,373,148,,,
63,2,True,0.9902631282806397,392,147,,,
63,3,True,0.9832838773727417,960,145,,,
