frame_idx,track_id,face_detected,face_conf,face_x1,face_y1,face_x2,face_y2
0,1,True,0.9999725421269735,760,-40,1043,310
0,2,True,0.9999879995981852,210,-32,484,316
1,1,True,0.9999662041664124,760,-39,1042,310
1,2,True,0.9999880790710449,210,-32,484,316
2,1,True,0.9999576807022095,759,-40,1041,309
2,2,True,0.9999880313873291,210,-33,484,317
3,1,True,0.9999455213546753,759,-41,1039,309
3,2,True,0.9999877691268921,210,-33,484,317
4,1,True,0.9999209642410278,759,-42,1037,308
4,2,True,0.9999876260757447,211,-34,485,318
5,1,True,0.9998943328857421,757,-43,1035,305
5,2,True,0.9999876022338867,211,-34,485,318
6,1,True,0.999864661693573,756,-46,1033,302
6,2,True,0.9999876022338867,211,-34,486,319
7,1,True,0.9998210191726684,755,-39,1031,301
7,2,True,0.9999878406524658,211,-34,486,318
8,1,True,0.9997963309288025,754,-33,1030,299
8,2,True,0.9999880075454712,211,-35,485,317
9,1,True,0.9997942566871643,751,-29,1027,297
9,2,True,0.9999878168106079,210,-35,484,316
10,1,True,0.9997913122177124,749,-27,1024,297
10,2,True,0.9999882698059082,209,-37,483,316
11,1,True,0.9997992634773254,748,-22,1019,296
11,2,True,0.9999887943267822,208,-39,481,315
12,1,True,0.9998096585273742,746,-26,1015,295
12,2,True,0.9999891996383667,206,-42,479,313
13,1,True,0.9997970223426819,745,-30,1012,294
13,2,True,0.9999904155731201,204,-45,477,310
14,1,True,0.9997562289237976,746,-30,1010,292
14,2,True,0.9999916791915894,201,-49,475,307
15,1,True,0.9997408270835877,747,-29,1007,292
15,2,True,0.9999915361404419,199,-52,472,302
16,1,True,0.9997166872024537,748,-27,1006,292
16,2,True,0.9999902963638305,198,-55,471,296
17,1,True,0.999715781211853,749,-30,1007,291
17,2,True,0.9999882221221924,197,-59,469,289
18,1,True,0.9997333765029908,750,-31,1007,291
18,2,True,0.9999869346618653,197,-62,467,285
19,1,True,0.9997678637504578,749,-35,1008,292
19,2,True,0.9999858379364014,196,-64,464,280
20,1,True,0.9997911930084229,750,-39,1011,292
20,2,True,0.9999857664108276,194,-68,462,276
21,1,True,0.9998143076896667,750,-43,1014,293
21,2,True,0.9999871969223022,191,-72,459,272
22,1,True,0.999812662601471,750,-43,1014,293
22,2,True,0.9999895095825195,188,-75,457,270
23,1,True,0.9997983813285828,750,-43,1014,293
23,2,True,0.9999903678894043,184,-79,455,267
24,1,True,0.9997782349586487,752,-41,1014,292
24,2,True,0.9999910116195678,181,-82,453,264
25,1,True,0.9997540473937988,752,-42,1014,292
25,2,True,0.9999910354614258,179,-82,451,263
26,1,True,0.9997231245040894,753,-42,1015,291
26,2,True,0.9999905109405518,177,-82,449,261
27,1,True,0.9997129321098328,754,-43,1015,290
27,2,True,0.9999898672103882,176,-81,447,261
28,1,True,0.9996692895889282,756,-42,1014,289
28,2,True,0.9999896049499511,176,-81,447,261
29,1,True,0.999595308303833,757,-41,1014,288
29,2,True,0.9999894380569458,176,-80,447,262
30,1,True,0.9994806170463562,758,-39,1013,286
30,2,True,0.9999894618988037,176,-80,447,262
31,1,True,0.9993090391159057,759,-37,1011,284
31,2,True,0.9999894857406616,177,-80,448,263
32,1,True,0.9990821480751038,760,-34,1010,281
32,2,True,0.9999893188476563,178,-79,449,264
33,1,True,0.998839509487152,760,-32,1008,278
33,2,True,0.9999884366989136,179,-78,449,265
34,1,True,0.998706603050232,761,-31,1007,276
34,2,True,0.9999870777130127,180,-77,451,266
35,1,True,0.9985798120498657,761,-30,1006,274
35,2,True,0.999984335899353,182,-75,452,267
36,1,True,0.9985031604766845,761,-25,1006,274
36,2,True,0.99998037815094,185,-73,454,268
