frame_idx,track_id,gaze_detected,inout,x_gaze,y_gaze,offscreen_direction,offscreen_yaw,offscreen_pitch
0,1,True,0.8578503529230753,674,414,,,
0,2,True,0.8578503529230753,674,414,,,
1,1,True,0.8680403679609299,674,415,,,
1,2,True,0.8680403679609299,674,415,,,
2,1,True,0.8802125573158264,674,415,,,
2,2,True,0.8802125573158264,674,415,,,
3,1,True,0.8987399220466614,674,415,,,
3,2,True,0.8987399220466614,674,415,,,
4,1,True,0.9180938243865967,674,415,,,
4,2,True,0.9180938243865967,674,415,,,
5,1,True,0.9325293779373169,674,414,,,
5,2,True,0.9325293779373169,674,414,,,
6,1,True,0.9395875811576844,675,413,,,
6,2,True,0.9395875811576844,675,413,,,
7,1,True,0.938350236415863,675,412,,,
7,2,True,0.938350236415863,675,412,,,
8,1,True,0.9328608870506286,673,413,,,
8,2,True,0.9328608870506286,673,413,,,
9,1,True,0.9258021593093873,672,412,,,
9,2,True,0.9258021593093873,672,412,,,
10,1,True,0.9189518332481384,667,409,,,
10,2,True,0.9189518332481384,667,409,,,
11,1,True,0.9112903237342834,665,409,,,
11,2,True,0.9112903237342834,665,409,,,
12,1,True,0.8761940360069275,663,407,,,
12,2,True,0.8761940360069275,663,407,,,
13,1,True,0.8345253467559814,659,402,,,
13,2,True,0.8345253467559814,659,402,,,
14,1,True,0.803281843662262,658,397,,,
14,2,True,0.803281843662262,658,397,,,
15,1,True,0.7037939846515655,654,397,,,
15,2,True,0.7037939846515655,654,397,,,
16,1,True,0.6047345936298371,650,397,,,
16,2,True,0.6047345936298371,650,397,,,
17,1,True,0.5541847705841064,650,398,,,
17,2,True,0.5541847705841064,650,398,,,
18,1,True,0.5001627504825592,649,402,,,
18,2,True,0.5001627504825592,649,402,,,
19,1,True,0.43580045104026793,645,409,right,13.649175008138021,2.1507466634114585
19,2,True,0.43580045104026793,645,409,down left,-35.07609558105469,-43.34136454264323
20,1,True,0.4370262622833252,640,408,right,14.306140899658203,2.0597152709960938
20,2,True,0.4370262622833252,640,408,down left,-35.619544982910156,-44.77915573120117
21,1,True,0.4464864611625671,631,398,right,14.346817016601562,2.282501220703125
21,2,True,0.4464864611625671,631,398,down left,-36.67418212890625,-46.52792510986328
22,1,True,0.42436881065368653,623,396,right,12.527835083007812,1.0575775146484374
22,2,True,0.42436881065368653,623,396,down left,-37.332952880859374,-47.301133728027345
23,1,True,0.41758838295936584,615,391,front,9.522125244140625,0.29139404296875
23,2,True,0.41758838295936584,615,391,down left,-38.38473205566406,-48.78756256103516
24,1,True,0.389174211025238,610,391,front,7.618609619140625,-0.64569091796875
24,2,True,0.389174211025238,610,391,down left,-36.324771118164065,-48.82830963134766
25,1,True,0.34967159032821654,603,394,front,1.4309722900390625,-2.052813720703125
25,2,True,0.34967159032821654,603,394,down left,-35.68885498046875,-49.35334014892578
26,1,True,0.3035686403512955,609,410,front,-8.000396728515625,-3.196417236328125
26,2,True,0.3035686403512955,609,410,down left,-33.60413818359375,-49.56275177001953
27,1,True,0.2715627193450928,614,416,left,-12.262814331054688,-2.8693695068359375
